PHASID	Chr_ID	Start_Pos	End_Pos	Locus_Len	Lib_Num	Pvalue	Phas_Hit	Phase	Average_HitPos	Phas_Ratio	Abudance	Max_Region_Phase_Score	Note	Best_Region
PHAS21-1	Chr1	2517443	2518131	689	13	3.50E-09	22	5	1.98	0.48	178.18	10.62	Potential PHAS	Chr1:2517444-2518119
PHAS21-2	Chr1	10462944	10464122	1179	43	4.05E-10	30	14	6.17	0.87	333.81	35.11	Potential PHAS	Chr1:10462944-10464122
PHAS21-3	Chr1	10536406	10536677	272	2	4.21E-05	6	14	8.12	0.89	8.62	10.33	Potential PHAS	Chr1:10536406-10536677
PHAS21-4	Chr1	10591456	10592073	618	11	4.13E-05	10	12	9.3	0.86	31.15	11.92	Potential PHAS	Chr1:10591579-10591925
PHAS21-5	Chr1	10616258	10616621	364	9	1.82E-07	9	11	7.38	0.95	33.45	16.2	Potential PHAS	Chr1:10616319-10616621
PHAS21-6	Chr1	10635563	10636075	513	3	6.16E-09	9	12	10.8	0.93	6.04	15.66	Potential Repeat	Chr1:10635857-10636075
PHAS21-7	Chr1	29662863	29663201	339	8	7.22E-05	10	8	8.59	0.77	392.53	10.83	Potential PHAS	Chr1:29662976-29663201
PHAS21-8	Chr1	70148739	70149005	267	6	7.28E-08	11	6	3.72	0.68	56.88	14.91	Potential PHAS	Chr1:70148739-70148984
PHAS21-9	Chr1	70154662	70154907	246	4	0.000112438	13	7	4.62	0.49	724.26	11.29	Potential PHAS	Chr1:70154662-70154863
PHAS21-10	Chr1	70165951	70167067	1117	71	0	44	19	4.64	0.83	3415.75	25.33	Confident PHAS	Chr1:70166059-70167041
PHAS21-11	Chr1	112470550	112471509	960	16	1.65E-05	14	16	14	0.7	71.5	11.98	Potential Repeat	Chr1:112470562-112470839
PHAS21-12	Chr1	153795852	153796500	649	16	7.71E-06	16	2	13.68	0.86	221.26	10.02	Potential Repeat	Chr1:153795853-153796239
PHAS21-13	Chr1	176463521	176463901	381	16	2.39E-09	13	2	8.63	0.78	12.1	14.78	Potential PHAS	Chr1:176463586-176463884
PHAS21-14	Chr1	186126562	186127148	587	9	7.37E-05	11	3	12.34	0.67	41.58	10.06	Potential Repeat	Chr1:186126598-186127148
PHAS21-15	Chr1	197736396	197736841	446	16	2.32E-11	13	4	1.3	0.82	61.87	17.91	Confident PHAS	Chr1:197736468-197736833
PHAS21-16	Chr1	202184533	202185562	1030	22	5.72E-06	13	9	14.11	0.88	118.85	13.87	Potential Repeat	Chr1:202184670-202184904
PHAS21-17	Chr10	38989771	38990149	379	6	5.39E-05	8	4	11.99	0.95	75.76	12.02	Potential Repeat	Chr10:38989771-38990149
PHAS21-18	Chr10	99272071	99273052	982	35	5.23E-06	18	21	7.24	0.88	142.79	11.07	Potential PHAS	Chr10:99272071-99272773
